edition_ID,City_ID,Language,State,Date,Copies Printed,copies_returned,Net_Circulation,Year
ED1010,C010,Hindi,Uttar pradesh,01-12-2024,374180,26217,347963,2024
ED1010,C010,Hindi,Uttar pradesh,01-11-2024,358044,15164,342880,2024
ED1010,C010,Hindi,Uttar pradesh,01-10-2024,372642,20339,352303,2024
ED1010,C010,Hindi,Uttar pradesh,01-09-2024,364199,26695,337504,2024
ED1010,C010,Hindi,Uttar pradesh,01-08-2024,375754,12602,363152,2024
ED1010,C010,Hindi,Uttar pradesh,01-07-2024,377974,24863,353111,2024
ED1010,C010,Hindi,Uttar pradesh,01-06-2024,357724,12898,344826,2024
ED1010,C010,Hindi,Uttar pradesh,01-05-2024,363888,17379,346509,2024
ED1010,C010,Hindi,Uttar pradesh,01-04-2024,345007,12867,332140,2024
ED1010,C010,Hindi,Uttar pradesh,01-03-2024,360722,23761,336961,2024
ED1010,C010,Hindi,Uttar pradesh,01-02-2024,354606,14872,339734,2024
ED1010,C010,Hindi,Uttar pradesh,01-01-2024,352843,26315,326528,2024
ED1010,C010,Hindi,Uttar pradesh,01-12-2023,395877,22374,373503,2023
ED1010,C010,Hindi,Uttar pradesh,01-11-2023,389952,17470,372482,2023
ED1010,C010,Hindi,Uttar pradesh,01-10-2023,386914,26298,360616,2023
ED1010,C010,Hindi,Uttar pradesh,01-09-2023,405577,27776,377801,2023
ED1010,C010,Hindi,Uttar pradesh,01-08-2023,401511,15689,385822,2023
ED1010,C010,Hindi,Uttar pradesh,01-07-2023,398429,17762,380667,2023
ED1010,C010,Hindi,Uttar pradesh,01-06-2023,404964,12252,392712,2023
ED1010,C010,Hindi,Uttar pradesh,01-05-2023,379193,17610,361583,2023
ED1010,C010,Hindi,Uttar pradesh,01-04-2023,400526,25275,375251,2023
ED1010,C010,Hindi,Uttar pradesh,01-03-2023,371591,22365,349226,2023
ED1010,C010,Hindi,Uttar pradesh,01-02-2023,373504,11939,361565,2023
ED1010,C010,Hindi,Uttar pradesh,01-01-2023,385935,14004,371931,2023
ED1010,C010,Hindi,Uttar pradesh,01-12-2022,411852,14185,397667,2022
ED1010,C010,Hindi,Uttar pradesh,01-11-2022,427465,30857,396608,2022
ED1010,C010,Hindi,Uttar pradesh,01-10-2022,408626,21177,387449,2022
ED1010,C010,Hindi,Uttar pradesh,01-09-2022,399465,25537,373928,2022
ED1010,C010,Hindi,Uttar pradesh,01-08-2022,418387,32968,385419,2022
